Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.265861       1.227670        -0.180649       
2       No      Show    2       C       -1.492584       -0.032943       0.204531        
3       No      Show    3       C       0.026186        0.124312        0.065536        
4       No      Show    4       C       0.763209        -1.211032       -0.029974       
5       No      Show    5       H       1.836457        -1.064714       -0.105097       
6       No      Show    6       H       -1.966061       2.077672        0.426790        
7       No      Show    7       H       -2.088815       1.487306        -1.220328       
8       No      Show    8       H       -1.825488       -0.850721       -0.431720       
9       No      Show    9       H       -1.737754       -0.324109       1.223298        
10      No      Show    10      H       -3.334924       1.089977        -0.050045       
11      No      Show    11      H       0.575045        -1.830917       0.842781        
12      No      Show    12      H       0.441751        -1.768343       -0.905050       
13      No      Show    13      H       0.243601        0.704032        -0.829481       
14      No      Show    14      H       0.411235        0.703808        0.901415        
