Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.231825       0.274012        -0.517874       
2       No      Show    2       C       -1.376562       0.487604        0.732619        
3       No      Show    3       C       0.000598        -0.209711       0.737206        
4       No      Show    4       C       0.658479        -0.403161       -0.630492       
5       No      Show    5       H       1.639179        -0.854576       -0.514686       
6       No      Show    6       H       -1.759951       0.688416        -1.401730       
7       No      Show    7       H       -2.419986       -0.779989       -0.705024       
8       No      Show    8       H       -1.932241       0.171961        1.611008        
9       No      Show    9       H       -1.225743       1.559385        0.846168        
10      No      Show    10      H       -3.195020       0.761525        -0.401493       
11      No      Show    11      H       0.071845        -1.054227       -1.268903       
12      No      Show    12      H       0.793173        0.540581        -1.152563       
13      No      Show    13      H       0.671561        0.343671        1.388016        
14      No      Show    14      H       -0.107537       -1.193469       1.189845        
