Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.376212       0.126723        -0.401644       
2       No      Show    2       C       -1.317172       0.571149        0.608599        
3       No      Show    3       C       -0.074381       -0.325456       0.654264        
4       No      Show    4       C       0.814918        -0.230964       -0.586659       
5       No      Show    5       H       1.699736        -0.850573       -0.476690       
6       No      Show    6       H       -2.003665       0.156656        -1.420531       
7       No      Show    7       H       -2.704193       -0.889245       -0.198823       
8       No      Show    8       H       -1.768605       0.589427        1.597736        
9       No      Show    9       H       -1.014836       1.594224        0.393961        
10      No      Show    10      H       -3.249263       0.770592        -0.355531       
11      No      Show    11      H       0.297967        -0.558594       -1.482894       
12      No      Show    12      H       1.145853        0.791089        -0.750322       
13      No      Show    13      H       0.517326        -0.054549       1.525477        
14      No      Show    14      H       -0.381521       -1.358434       0.805187        
