Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.264275       1.256039        -0.083201       
2       No      Show    2       C       -1.500902       -0.059508       0.063771        
3       No      Show    3       C       0.013189        0.106939        -0.076323       
4       No      Show    4       C       0.776559        -1.208614       0.070608        
5       No      Show    5       H       1.846612        -1.057152       -0.033536       
6       No      Show    6       H       -1.956722       1.974089        0.671989        
7       No      Show    7       H       -2.087120       1.705324        -1.056471       
8       No      Show    8       H       -1.854477       -0.767880       -0.682766       
9       No      Show    9       H       -1.725066       -0.501122       1.032715        
10      No      Show    10      H       -3.334318       1.104597        0.021072        
11      No      Show    11      H       0.599304        -1.657988       1.043819        
12      No      Show    12      H       0.469095        -1.926599       -0.684680       
13      No      Show    13      H       0.237358        0.548596        -1.045246       
14      No      Show    14      H       0.366764        0.815278        0.670247        
