Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.254126       1.173976        -0.275466       
2       No      Show    2       C       -1.488060       0.001007        0.336026        
3       No      Show    3       C       0.041745        0.131759        0.200320        
4       No      Show    4       C       0.736493        -1.188217       -0.133783       
5       No      Show    5       H       1.812504        -1.060895       -0.205268       
6       No      Show    6       H       -1.968281       2.116625        0.183883        
7       No      Show    7       H       -2.053187       1.252503        -1.340047       
8       No      Show    8       H       -1.815159       -0.912221       -0.156317       
9       No      Show    9       H       -1.759089       -0.111781       1.382380        
10      No      Show    10      H       -3.325822       1.055548        -0.146765       
11      No      Show    11      H       0.542550        -1.941427       0.625400        
12      No      Show    12      H       0.383635        -1.579897       -1.083495       
13      No      Show    13      H       0.272323        0.846028        -0.587104       
14      No      Show    14      H       0.460470        0.548991        1.112252        
