Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.660350       0.009815        -0.063890       
2       No      Show    2       C       -1.279804       0.597847        0.227557        
3       No      Show    3       C       -0.166527       -0.465084       0.308837        
4       No      Show    4       C       1.142716        -0.024047       -0.345382       
5       No      Show    5       H       1.907036        -0.789989       -0.254447       
6       No      Show    6       H       -2.666174       -0.504177       -1.020789       
7       No      Show    7       H       -2.953995       -0.708295       0.697284        
8       No      Show    8       H       -1.310617       1.173547        1.148782        
9       No      Show    9       H       -1.040086       1.308961        -0.559993       
10      No      Show    10      H       -3.420350       0.784664        -0.097522       
11      No      Show    11      H       0.996656        0.176835        -1.402826       
12      No      Show    12      H       1.528233        0.883461        0.111896        
13      No      Show    13      H       0.011946        -0.736382       1.345940        
14      No      Show    14      H       -0.502733       -1.375113       -0.183296       
