Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.137775       0.810181        -0.525871       
2       No      Show    2       C       -1.459564       0.162977        0.682779        
3       No      Show    3       C       0.068024        0.082723        0.580064        
4       No      Show    4       C       0.576481        -0.914440       -0.462440       
5       No      Show    5       H       1.661247        -0.960920       -0.456638       
6       No      Show    6       H       -1.760460       1.815879        -0.690496       
7       No      Show    7       H       -1.973749       0.242423        -1.436126       
8       No      Show    8       H       -1.862706       -0.836147       0.835692        
9       No      Show    9       H       -1.718246       0.733754        1.571494        
10      No      Show    10      H       -3.210772       0.880923        -0.375584       
11      No      Show    11      H       0.202116        -1.914047       -0.258646       
12      No      Show    12      H       0.268045        -0.644401       -1.467310       
13      No      Show    13      H       0.466361        1.071942        0.363437        
14      No      Show    14      H       0.466988        -0.198850       1.551692        
