Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.138118       0.529859        -0.575302       
2       No      Show    2       C       -1.436148       0.336551        0.770987        
3       No      Show    3       C       0.061704        -0.055527       0.719023        
4       No      Show    4       C       0.563226        -0.662200       -0.593627       
5       No      Show    5       H       1.616555        -0.912038       -0.509332       
6       No      Show    6       H       -1.671219       1.309713        -1.170316       
7       No      Show    7       H       -2.137870       -0.381022       -1.163540       
8       No      Show    8       H       -1.980092       -0.434447       1.311894        
9       No      Show    9       H       -1.542936       1.240937        1.362583        
10      No      Show    10      H       -3.173167       0.817396        -0.417114       
11      No      Show    11      H       0.032119        -1.574468       -0.850342       
12      No      Show    12      H       0.456128        0.028335        -1.422734       
13      No      Show    13      H       0.661287        0.830211        0.916162        
14      No      Show    14      H       0.274509        -0.741284       1.533734        
