Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.290052       0.199140        -0.468798       
2       No      Show    2       C       -1.341836       0.539034        0.682155        
3       No      Show    3       C       -0.039956       -0.273182       0.710267        
4       No      Show    4       C       0.721534        -0.318306       -0.615415       
5       No      Show    5       H       1.671397        -0.829769       -0.493204       
6       No      Show    6       H       -1.862929       0.457397        -1.431606       
7       No      Show    7       H       -2.529679       -0.861237       -0.485577       
8       No      Show    8       H       -1.858109       0.398340        1.628313        
9       No      Show    9       H       -1.096527       1.598251        0.626384        
10      No      Show    10      H       -3.223177       0.745115        -0.369009       
11      No      Show    11      H       0.164031        -0.845399       -1.381896       
12      No      Show    12      H       0.931923        0.681782        -0.986442       
13      No      Show    13      H       0.605952        0.134809        1.483504        
14      No      Show    14      H       -0.266613       -1.293939       1.013433        
