Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.155525       0.478281        -0.572489       
2       No      Show    2       C       -1.428699       0.370586        0.770752        
3       No      Show    3       C       0.055076        -0.087863       0.730168        
4       No      Show    4       C       0.579679        -0.612591       -0.609094       
5       No      Show    5       H       1.622928        -0.897567       -0.511445       
6       No      Show    6       H       -1.685126       1.198872        -1.234513       
7       No      Show    7       H       -2.191772       -0.473929       -1.090439       
8       No      Show    8       H       -1.991547       -0.320733       1.392496        
9       No      Show    9       H       -1.487314       1.330434        1.275223        
10      No      Show    10      H       -3.179450       0.803108        -0.413806       
11      No      Show    11      H       0.033952        -1.488530       -0.946312       
12      No      Show    12      H       0.518023        0.137722        -1.389811       
13      No      Show    13      H       0.687003        0.745911        1.024745        
14      No      Show    14      H       0.208747        -0.851685       1.486605        
