Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.679404       0.007369        -0.010952       
2       No      Show    2       C       -1.277704       0.591818        0.161224        
3       No      Show    3       C       -0.178455       -0.479314       0.244839        
4       No      Show    4       C       1.169255        -0.006169       -0.299037       
5       No      Show    5       H       1.926509        -0.778464       -0.203402       
6       No      Show    6       H       -2.749463       -0.560108       -0.934369       
7       No      Show    7       H       -2.933745       -0.661857       0.806924        
8       No      Show    8       H       -1.243143       1.224788        1.044423        
9       No      Show    9       H       -1.074848       1.245875        -0.684405       
10      No      Show    10      H       -3.431871       0.789531        -0.043112       
11      No      Show    11      H       1.090409        0.254330        -1.350494       
12      No      Show    12      H       1.525317        0.872760        0.232165        
13      No      Show    13      H       -0.068900       -0.815181       1.272981        
14      No      Show    14      H       -0.488008       -1.353336       -0.324627       
