Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.119549       0.629795        -0.567115       
2       No      Show    2       C       -1.447304       0.261377        0.756597        
3       No      Show    3       C       0.068923        0.011516        0.681133        
4       No      Show    4       C       0.548332        -0.754550       -0.553034       
5       No      Show    5       H       1.614192        -0.950418       -0.486806       
6       No      Show    6       H       -1.657559       1.502009        -1.022974       
7       No      Show    7       H       -2.069193       -0.183583       -1.282348       
8       No      Show    8       H       -1.932006       -0.634754       1.140111        
9       No      Show    9       H       -1.635607       1.040586        1.490107        
10      No      Show    10      H       -3.168407       0.860725        -0.407811       
11      No      Show    11      H       0.044553        -1.712939       -0.651497       
12      No      Show    12      H       0.375303        -0.194137       -1.464995       
13      No      Show    13      H       0.584027        0.970342        0.700901        
14      No      Show    14      H       0.380274        -0.513954       1.579801        
