Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.125580       0.578550        -0.573224       
2       No      Show    2       C       -1.442333       0.299066        0.766886        
3       No      Show    3       C       0.066369        -0.021183       0.702934        
4       No      Show    4       C       0.552237        -0.707692       -0.575138       
5       No      Show    5       H       1.611687        -0.933374       -0.500367       
6       No      Show    6       H       -1.657767       1.404847        -1.102124       
7       No      Show    7       H       -2.100640       -0.288143       -1.224237       
8       No      Show    8       H       -1.958437       -0.540865       1.227871        
9       No      Show    9       H       -1.593693       1.142368        1.434648        
10      No      Show    10      H       -3.167526       0.840328        -0.415816       
11      No      Show    11      H       0.030962        -1.644240       -0.755417       
12      No      Show    12      H       0.412535        -0.077659       -1.446422       
13      No      Show    13      H       0.625149        0.906756        0.808052        
14      No      Show    14      H       0.333015        -0.626744       1.564427        
