Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.175672       0.421728        -0.564392       
2       No      Show    2       C       -1.419902       0.400119        0.767209        
3       No      Show    3       C       0.046530        -0.116877       0.737036        
4       No      Show    4       C       0.599502        -0.556708       -0.621489       
5       No      Show    5       H       1.625512        -0.894510       -0.510357       
6       No      Show    6       H       -1.694198       1.063132        -1.295243       
7       No      Show    7       H       -2.263614       -0.568800       -0.998533       
8       No      Show    8       H       -1.990735       -0.202867       1.467560        
9       No      Show    9       H       -1.429252       1.406857        1.175036        
10      No      Show    10      H       -3.181777       0.800581        -0.411482       
11      No      Show    11      H       0.030943        -1.377705       -1.045828       
12      No      Show    12      H       0.600368        0.254250        -1.342394       
13      No      Show    13      H       0.699872        0.656262        1.131160        
14      No      Show    14      H       0.138398        -0.953443       1.423803        
