Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.128277       0.744676        -0.543182       
2       No      Show    2       C       -1.455467       0.191757        0.714172        
3       No      Show    3       C       0.069215        0.064866        0.618936        
4       No      Show    4       C       0.563069        -0.857016       -0.497117       
5       No      Show    5       H       1.642415        -0.967054       -0.455651       
6       No      Show    6       H       -1.706620       1.706768        -0.822911       
7       No      Show    7       H       -2.016283       0.075475        -1.389614       
8       No      Show    8       H       -1.880533       -0.783094       0.946222        
9       No      Show    9       H       -1.696393       0.835725        1.556492        
10      No      Show    10      H       -3.192140       0.886636        -0.379294       
11      No      Show    11      H       0.127006        -1.848806       -0.408430       
12      No      Show    12      H       0.313138        -0.472210       -1.480111       
13      No      Show    13      H       0.501376        1.054345        0.480983        
14      No      Show    14      H       0.445480        -0.300066       1.571561        
