Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.697418       0.010448        0.092123        
2       No      Show    2       C       -1.279065       0.574764        0.021786        
3       No      Show    3       C       -0.197914       -0.505182       0.108142        
4       No      Show    4       C       1.202234        0.021602        -0.203640       
5       No      Show    5       H       1.946676        -0.764378       -0.120756       
6       No      Show    6       H       -2.885427       -0.673127       -0.730912       
7       No      Show    7       H       -2.859245       -0.535771       1.017574        
8       No      Show    8       H       -1.130805       1.299515        0.819474        
9       No      Show    9       H       -1.162629       1.122219        -0.911573       
10      No      Show    10      H       -3.439395       0.801511        0.041936        
11      No      Show    11      H       1.252094        0.420360        -1.212855       
12      No      Show    12      H       1.485352        0.817883        0.479576        
13      No      Show    13      H       -0.211238       -0.951742       1.100089        
14      No      Show    14      H       -0.437272       -1.306061       -0.588798       
