Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.162964       0.936659        -0.476643       
2       No      Show    2       C       -1.468982       0.109004        0.606437        
3       No      Show    3       C       0.064939        0.110903        0.490459        
4       No      Show    4       C       0.611472        -1.020699       -0.381587       
5       No      Show    5       H       1.693311        -0.969407       -0.459746       
6       No      Show    6       H       -1.869621       1.980351        -0.410746       
7       No      Show    7       H       -1.910331       0.585776        -1.473534       
8       No      Show    8       H       -1.835565       -0.914477       0.582262        
9       No      Show    9       H       -1.756451       0.509101        1.575503        
10      No      Show    10      H       -3.243132       0.888808        -0.376339       
11      No      Show    11      H       0.354782        -1.988830       0.038552        
12      No      Show    12      H       0.207637        -0.981502       -1.389613       
13      No      Show    13      H       0.400630        1.070702        0.104997        
14      No      Show    14      H       0.500272        0.015609        1.482028        
