#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          HEAT_VAP        
10                4.20201869e+06  2.84334411e+06  0.00000000e+00  7.05433128e+05  6.74589378e+05 -2.13479179e+04  9.98852301e+03  1.50892658e+04  1.47145561e+08  7.45750761e+04  7.54662232e+02  9.11250000e+04 -3.99049327e+01
20                4.20197757e+06  2.84321411e+06  0.00000000e+00  7.05502986e+05  6.74607758e+05 -2.13472778e+04  9.98858216e+03  1.50893575e+04  1.47108521e+08  7.45563697e+04  7.54662232e+02  9.11250000e+04 -3.98648477e+01
30                4.19407825e+06  2.83531489e+06  0.00000000e+00  7.05790237e+05  6.74267949e+05 -2.12948253e+04  1.00082859e+04  1.50980658e+04  1.46989197e+08  7.44960613e+04  7.54267809e+02  9.11250000e+04 -3.95335409e+01
40                4.17162579e+06  2.80832720e+06  0.00000000e+00  7.10838688e+05  6.73559501e+05 -2.10995989e+04  1.01478509e+04  1.50991864e+04  1.45910804e+08  7.39510221e+04  7.53347489e+02  9.11250000e+04 -3.87666247e+01
50                4.14986976e+06  2.78862518e+06  0.00000000e+00  7.09732278e+05  6.72502616e+05 -2.09903138e+04  1.01479798e+04  1.51355476e+04  1.45780644e+08  7.38852407e+04  7.52164221e+02  9.11250000e+04 -3.86925258e+01
60                4.14741753e+06  2.78639923e+06  0.00000000e+00  7.09610587e+05  6.72385228e+05 -2.09775146e+04  1.01486230e+04  1.51396153e+04  1.44971867e+08  7.34763682e+04  7.52032747e+02  9.11250000e+04 -3.81163689e+01
70                4.12643729e+06  2.76849856e+06  0.00000000e+00  7.08008741e+05  6.70858635e+05 -2.09286504e+04  1.00428888e+04  1.51890587e+04  1.44826189e+08  7.34027041e+04  7.50323582e+02  9.11250000e+04 -3.79829325e+01
80                4.10427088e+06  2.74931331e+06  0.00000000e+00  7.06412484e+05  6.69331656e+05 -2.07865683e+04  1.00525409e+04  1.52163292e+04  1.43479288e+08  7.27216037e+04  7.48614416e+02  9.11250000e+04 -3.66441710e+01
90                4.09556196e+06  2.74148421e+06  0.00000000e+00  7.05921396e+05  6.68861542e+05 -2.07051833e+04  1.01041384e+04  1.52137586e+04  1.42927364e+08  7.24424517e+04  7.48088519e+02  9.11250000e+04 -3.60105637e+01
100               4.09514594e+06  2.74107674e+06  0.00000000e+00  7.05921396e+05  6.68861542e+05 -2.07137375e+04  1.00968693e+04  1.52124735e+04  1.42889428e+08  7.24232927e+04  7.48088519e+02  9.11250000e+04 -3.57117326e+01
