Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.226041       1.095291        -0.365340       
2       No      Show    2       C       -1.483064       0.039889        0.454545        
3       No      Show    3       C       0.055049        0.130598        0.324439        
4       No      Show    4       C       0.693763        -1.139720       -0.238086       
5       No      Show    5       H       1.771227        -1.035273       -0.324088       
6       No      Show    6       H       -1.953658       2.098769        -0.050380       
7       No      Show    7       H       -1.988980       1.006388        -1.422144       
8       No      Show    8       H       -1.817669       -0.946054       0.141569        
9       No      Show    9       H       -1.773129       0.134035        1.497239        
10      No      Show    10      H       -3.301820       0.994313        -0.257010       
11      No      Show    11      H       0.493368        -1.994804       0.401471        
12      No      Show    12      H       0.302511        -1.368656       -1.225733       
13      No      Show    13      H       0.317667        0.968152        -0.317070       
14      No      Show    14      H       0.496773        0.349071        1.292612        
