Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.331033       0.163515        -0.437548       
2       No      Show    2       C       -1.327869       0.557506        0.647701        
3       No      Show    3       C       -0.058389       -0.300880       0.685423        
4       No      Show    4       C       0.765823        -0.275846       -0.602746       
5       No      Show    5       H       1.688679        -0.834437       -0.479748       
6       No      Show    6       H       -1.931244       0.319233        -1.433911       
7       No      Show    7       H       -2.610325       -0.883558       -0.352105       
8       No      Show    8       H       -1.814613       0.496884        1.618087        
9       No      Show    9       H       -1.048789       1.600965        0.512903        
10      No      Show    10      H       -3.238406       0.754028        -0.355185       
11      No      Show    11      H       0.228098        -0.715954       -1.435798       
12      No      Show    12      H       1.030709        0.741523        -0.879258       
13      No      Show    13      H       0.563691        0.038773        1.509981        
14      No      Show    14      H       -0.330374       -1.329711       0.914321        
