Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.514553       0.045885        -0.271583       
2       No      Show    2       C       -1.294457       0.599176        0.466343        
3       No      Show    3       C       -0.117038       -0.394602       0.532036        
4       No      Show    4       C       0.968935        -0.117803       -0.508803       
5       No      Show    5       H       1.765135        -0.854167       -0.453847       
6       No      Show    6       H       -2.265576       -0.245262       -1.288782       
7       No      Show    7       H       -2.907056       -0.831065       0.234880        
8       No      Show    8       H       -1.599601       0.869594        1.473754        
9       No      Show    9       H       -0.968570       1.522638        -0.005763       
10      No      Show    10      H       -3.310675       0.782409        -0.325507       
11      No      Show    11      H       0.567127        -0.141711       -1.518471       
12      No      Show    12      H       1.411307        0.861950        -0.353898       
13      No      Show    13      H       0.338412        -0.355170       1.518000        
14      No      Show    14      H       -0.487440       -1.409830       0.413781        
