Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.261857       1.203954        -0.228421       
2       No      Show    2       C       -1.490046       -0.016726       0.271818        
3       No      Show    3       C       0.033902        0.129229        0.134190        
4       No      Show    4       C       0.751712        -1.202761       -0.081549       
5       No      Show    5       H       1.826506        -1.065055       -0.151355       
6       No      Show    6       H       -1.968284       2.104917        0.304074        
7       No      Show    7       H       -2.075626       1.370972        -1.285332       
8       No      Show    8       H       -1.818141       -0.884199       -0.297280       
9       No      Show    9       H       -1.748275       -0.222894       1.307529        
10      No      Show    10      H       -3.331867       1.076109        -0.095182       
11      No      Show    11      H       0.559890        -1.893982       0.735085        
12      No      Show    12      H       0.416538        -1.676796       -0.999473       
13      No      Show    13      H       0.255265        0.776694        -0.711869       
14      No      Show    14      H       0.436282        0.632536        1.009778        
