Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.212541       0.316531        -0.536530       
2       No      Show    2       C       -1.393889       0.457697        0.748968        
3       No      Show    3       C       0.019446        -0.176667       0.741043        
4       No      Show    4       C       0.637647        -0.448877       -0.632403       
5       No      Show    5       H       1.629150        -0.875932       -0.515899       
6       No      Show    6       H       -1.726558       0.797929        -1.377841       
7       No      Show    7       H       -2.380636       -0.723742       -0.800699       
8       No      Show    8       H       -1.959648       0.046393        1.579661        
9       No      Show    9       H       -1.297958       1.520998        0.956530        
10      No      Show    10      H       -3.185765       0.781283        -0.410558       
11      No      Show    11      H       0.044813        -1.150628       -1.208444       
12      No      Show    12      H       0.741533        0.458982        -1.219946       
13      No      Show    13      H       0.691216        0.453257        1.316565        
14      No      Show    14      H       -0.020837       -1.125206       1.271648        
