Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.120894       0.683997        -0.556929       
2       No      Show    2       C       -1.451545       0.224566        0.739307        
3       No      Show    3       C       0.069754        0.041278        0.653104        
4       No      Show    4       C       0.552381        -0.803164       -0.527287       
5       No      Show    5       H       1.624479        -0.964260       -0.468763       
6       No      Show    6       H       -1.671122       1.599681        -0.932867       
7       No      Show    7       H       -2.045601       -0.066217       -1.336442       
8       No      Show    8       H       -1.904103       -0.716536       1.047114        
9       No      Show    9       H       -1.670053       0.937361        1.530336        
10      No      Show    10      H       -3.176255       0.879603        -0.393460       
11      No      Show    11      H       0.073373        -1.779131       -0.539130       
12      No      Show    12      H       0.346709        -0.321783       -1.477078       
13      No      Show    13      H       0.540964        1.020838        0.592682        
14      No      Show    14      H       0.417895        -0.404223       1.581477        
