Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.691652       0.007493        0.041109        
2       No      Show    2       C       -1.277289       0.584045        0.092401        
3       No      Show    3       C       -0.189119       -0.492671       0.177722        
4       No      Show    4       C       1.188994        0.009149        -0.251748       
5       No      Show    5       H       1.939221        -0.770207       -0.158603       
6       No      Show    6       H       -2.823038       -0.616816       -0.837906       
7       No      Show    7       H       -2.902072       -0.604581       0.914294        
8       No      Show    8       H       -1.182908       1.266003        0.934304        
9       No      Show    9       H       -1.115626       1.183493        -0.801427       
10      No      Show    10      H       -3.437696       0.795473        0.003438        
11      No      Show    11      H       1.176007        0.335818        -1.287513       
12      No      Show    12      H       1.511019        0.851308        0.355240        
13      No      Show    13      H       -0.143657       -0.886328       1.190512        
14      No      Show    14      H       -0.466235       -1.330136       -0.459662       
