Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.257361       0.234783        -0.495313       
2       No      Show    2       C       -1.358834       0.514967        0.710508        
3       No      Show    3       C       -0.019545       -0.242065       0.727228        
4       No      Show    4       C       0.686139        -0.359541       -0.624832       
5       No      Show    5       H       1.652940        -0.839350       -0.506991       
6       No      Show    6       H       -1.804699       0.574578        -1.420145       
7       No      Show    7       H       -2.469850       -0.826317       -0.599777       
8       No      Show    8       H       -1.897713       0.289298        1.626665        
9       No      Show    9       H       -1.157759       1.584523        0.736738        
10      No      Show    10      H       -3.207158       0.749656        -0.387615       
11      No      Show    11      H       0.110801        -0.952305       -1.327181       
12      No      Show    12      H       0.856834        0.615378        -1.074714       
13      No      Show    13      H       0.642386        0.237348        1.443240        
14      No      Show    14      H       -0.190216       -1.248923       1.104293        
