Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.194807       0.365677        -0.552023       
2       No      Show    2       C       -1.408601       0.428203        0.760280        
3       No      Show    3       C       0.034979        -0.145477       0.740641        
4       No      Show    4       C       0.618959        -0.499990       -0.629562       
5       No      Show    5       H       1.625242        -0.890939       -0.512646       
6       No      Show    6       H       -1.704984       0.921581        -1.344069       
7       No      Show    7       H       -2.331607       -0.654424       -0.897682       
8       No      Show    8       H       -1.979414       -0.080250       1.531569        
9       No      Show    9       H       -1.366868       1.470038        1.067075        
10      No      Show    10      H       -3.181764       0.796479        -0.412599       
11      No      Show    11      H       0.031238        -1.257787       -1.136138       
12      No      Show    12      H       0.680426        0.364754        -1.283197       
13      No      Show    13      H       0.700838        0.558985        1.230134        
14      No      Show    14      H       0.062335        -1.044832       1.350310        
