Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.205995       1.047125        -0.406495       
2       No      Show    2       C       -1.479082       0.061105        0.508993        
3       No      Show    3       C       0.059568        0.126907        0.382719        
4       No      Show    4       C       0.666815        -1.105784       -0.288460       
5       No      Show    5       H       1.744932        -1.014415       -0.380899       
6       No      Show    6       H       -1.935377       2.071442        -0.166870       
7       No      Show    7       H       -1.953430       0.875404        -1.449630       
8       No      Show    8       H       -1.821346       -0.947849       0.293175        
9       No      Show    9       H       -1.773216       0.261733        1.535505        
10      No      Show    10      H       -3.283662       0.956683        -0.308083       
11      No      Show    11      H       0.457605        -2.003515       0.286162        
12      No      Show    12      H       0.260347        -1.251307       -1.285965       
13      No      Show    13      H       0.343468        1.015552        -0.175331       
14      No      Show    14      H       0.505369        0.238915        1.367204        
